gene,F_score,p_value,DH_ex_Reln/Nmur2_mean,DH_ex_Cpne4_mean,mean_difference
Bnc2,63.40520441738465,4.5739699739505745e-12,0.5373134328358209,4.1923076923076925,-3.654994259471872
Cck,34.60634081401255,6.62189807451122e-08,0.11940298507462686,1.1923076923076923,-1.0729047072330655
Sstr2,16.781092996151354,9.085177650349822e-05,0.07462686567164178,0.5,-0.4253731343283582
Grid1,11.239953219677698,0.00116778621650052,1.373134328358209,0.34615384615384615,1.0269804822043627
Prkcg,9.257971332807166,0.00306426179824849,0.2537313432835821,1.3076923076923077,-1.0539609644087256
Chrm4,7.020300724814356,0.009502546897616312,0.5074626865671642,0.07692307692307693,0.4305396096440873
Adcyap1,6.354768730581357,0.013447747329970214,0.2537313432835821,0.0,0.2537313432835821
Chrm3,5.858538082593998,0.017487976294980678,0.07462686567164178,0.2692307692307692,-0.19460390355912743
Crhr1,5.373625292911736,0.02268484318508961,0.04477611940298507,0.19230769230769232,-0.14753157290470725
Sema7a,5.373625292911736,0.02268484318508961,0.04477611940298507,0.19230769230769232,-0.14753157290470725
Pvalb,5.194832050654872,0.024992370713624843,0.07462686567164178,0.2692307692307692,-0.19460390355912743
Dlk1,4.854584965393265,0.030097363941355076,0.1791044776119403,1.0769230769230769,-0.8978185993111366
Gpc3,4.712689088746105,0.0325433003983307,0.208955223880597,0.0,0.208955223880597
Tnr,3.8981500407458842,0.051371277881657684,0.04477611940298507,0.19230769230769232,-0.14753157290470725
Rorb,3.7436934742757235,0.0561129571372029,0.373134328358209,1.0,-0.6268656716417911
Fbn2,3.719078939572106,0.05691125167572345,0.19402985074626866,0.0,0.19402985074626866
Pcdhga12,2.7022350613396244,0.10365837826906134,0.11940298507462686,0.3076923076923077,-0.18828932261768083
Nrp1,2.5085894787924214,0.11669654887171345,0.1791044776119403,0.4230769230769231,-0.24397244546498278
Rxfp3,2.3984372839961754,0.12492743498129061,0.1044776119402985,0.0,0.1044776119402985
Pdzrn3,2.2501843872520477,0.137060066689439,0.11940298507462686,0.0,0.11940298507462686
Jag2,2.1267053188848277,0.14819443945557856,0.2537313432835821,0.11538461538461539,0.1383467278989667
Chrnb2,2.109083082690087,0.14986633382989858,0.8059701492537313,1.1923076923076923,-0.38633754305396095
Gabrb3,2.0731927167031796,0.15333881021152962,0.22388059701492538,0.34615384615384615,-0.12227324913892076
Pcdhga8,2.051682275407562,0.15546431475932687,0.07462686567164178,0.0,0.07462686567164178
Gabrg3,1.9797961058997464,0.16281819319285604,0.6865671641791045,0.38461538461538464,0.3019517795637198
Pcdhgb2,1.9587967567355316,0.1650417990653254,0.08955223880597014,0.0,0.08955223880597014
Nrgn,1.9140309177043513,0.16990074861349844,0.5671641791044776,0.3076923076923077,0.2594718714121699
Gabrq,1.824312840310282,0.18014995867033268,0.16417910447761194,0.038461538461538464,0.12571756601607348
Gabrg2,1.539640682401489,0.21786069549739207,0.04477611940298507,0.11538461538461539,-0.07060849598163033
Pax2,1.539640682401489,0.21786069549739207,0.04477611940298507,0.11538461538461539,-0.07060849598163033
Calb1,1.3622836160216583,0.24619143073589445,0.1044776119402985,0.2692307692307692,-0.16475315729047071
Grik1,1.2757215619694404,0.2616645930735631,0.1044776119402985,0.19230769230769232,-0.08783008036739381
Rnf220,1.1509552772122804,0.286186043764617,2.1492537313432836,2.576923076923077,-0.4276693455797935
