dataset,AP_position,cell_type,cell_count,group_total,raw_group_frequency,global_frequency,smoothed_frequency_prior
20240328,1,astrocyte_1,55,197,0.27918781725888325,0.19371196754563894,0.2713098587599667
20240328,1,astrocyte_2,9,197,0.04568527918781726,0.06626098715348208,0.04758165780216425
20240328,1,endothelial,25,197,0.12690355329949238,0.10919540229885058,0.12527146564966365
20240328,1,ependymal,2,197,0.01015228426395939,0.0033806626098715348,0.009528171669112583
20240328,1,meninges_1,10,197,0.050761421319796954,0.022650439486139283,0.04817054741807735
20240328,1,meninges_2,3,197,0.015228426395939087,0.014198782961460446,0.015133528383544741
20240328,1,meninges_3,2,197,0.01015228426395939,0.006423258958755916,0.009808595295737872
20240328,1,microglia,5,197,0.025380710659898477,0.021636240703177823,0.025035598221491043
20240328,1,oligodendrocyte_1,12,197,0.06091370558375635,0.0916159567275186,0.06374340615000172
20240328,1,oligodendrocyte_2,19,197,0.09644670050761421,0.14164976335361731,0.10061288141507993
20240328,1,oligodendrocyte_precursor_cell,4,197,0.02030456852791878,0.03718728870858688,0.021860579604478056
20240328,1,oligodendrocyte_progenitor_1,5,197,0.025380710659898477,0.01656524678837052,0.024568225510448898
20240328,1,oligodendrocyte_progenitor_2,36,197,0.18274111675126903,0.2376605814739689,0.18780281856902942
20240328,1,pericyte,5,197,0.025380710659898477,0.013522650439486139,0.024287801883823606
20240328,1,peripheral_glia,2,197,0.01015228426395939,0.00777552400270453,0.009933228018682445
20240328,1,Schwann_cell,3,197,0.015228426395939087,0.01656524678837052,0.015351635648697744
20240328,2,astrocyte_1,36,151,0.23841059602649006,0.19371196754563894,0.23318268626264785
20240328,2,astrocyte_2,9,151,0.059602649006622516,0.06626098715348208,0.06038140200625522
20240328,2,endothelial,25,151,0.16556291390728478,0.10919540229885058,0.15897022249109363
20240328,2,ependymal,0,151,0.0,0.0033806626098715348,0.0003953991356574895
20240328,2,meninges_1,2,151,0.013245033112582781,0.022650439486139283,0.014345080641653716
20240328,2,meninges_2,2,151,0.013245033112582781,0.014198782961460446,0.013356582802509993
20240328,2,meninges_3,1,151,0.006622516556291391,0.006423258958755916,0.006599211574123499
20240328,2,microglia,8,151,0.052980132450331126,0.021636240703177823,0.049314180199202085
20240328,2,oligodendrocyte_1,17,151,0.11258278145695365,0.0916159567275186,0.11013052125468054
20240328,2,oligodendrocyte_2,23,151,0.152317880794702,0.14164976335361731,0.151070147760657
20240328,2,oligodendrocyte_precursor_cell,4,151,0.026490066225165563,0.03718728870858688,0.027741203357729463
20240328,2,oligodendrocyte_progenitor_1,4,151,0.026490066225165563,0.01656524678837052,0.025329268630218775
20240328,2,oligodendrocyte_progenitor_2,15,151,0.09933774834437085,0.2376605814739689,0.11551585748233555
20240328,2,pericyte,3,151,0.019867549668874173,0.013522650439486139,0.019125456191752762
20240328,2,peripheral_glia,1,151,0.006622516556291391,0.00777552400270453,0.0067573712283864945
20240328,2,Schwann_cell,1,151,0.006622516556291391,0.01656524678837052,0.007785408981095968
20240328,3,astrocyte_1,4,18,0.2222222222222222,0.19371196754563894,0.2072168250240205
20240328,3,astrocyte_2,1,18,0.05555555555555555,0.06626098715348208,0.06118999323867478
20240328,3,endothelial,1,18,0.05555555555555555,0.10919540229885058,0.08378705384150031
20240328,3,ependymal,0,18,0.0,0.0033806626098715348,0.0017792961104587026
20240328,3,meninges_1,0,18,0.0,0.022650439486139283,0.011921283940073307
20240328,3,meninges_2,0,18,0.0,0.014198782961460446,0.00747304366392655
20240328,3,meninges_3,0,18,0.0,0.006423258958755916,0.0033806626098715348
20240328,3,microglia,0,18,0.0,0.021636240703177823,0.011387495106935696
20240328,3,oligodendrocyte_1,2,18,0.1111111111111111,0.0916159567275186,0.10085050354079926
20240328,3,oligodendrocyte_2,1,18,0.05555555555555555,0.14164976335361731,0.10086829650190385
20240328,3,oligodendrocyte_precursor_cell,0,18,0.0,0.03718728870858688,0.01957225721504573
20240328,3,oligodendrocyte_progenitor_1,0,18,0.0,0.01656524678837052,0.00871855094124764
20240328,3,oligodendrocyte_progenitor_2,8,18,0.4444444444444444,0.2376605814739689,0.33561083235472045
20240328,3,pericyte,0,18,0.0,0.013522650439486139,0.00711718444183481
20240328,3,peripheral_glia,1,18,0.05555555555555555,0.00777552400270453,0.030408170527739226
20240328,3,Schwann_cell,0,18,0.0,0.01656524678837052,0.00871855094124764
20240328,4,astrocyte_1,23,98,0.23469387755102042,0.19371196754563894,0.2277477911094303
20240328,4,astrocyte_2,10,98,0.10204081632653061,0.06626098715348208,0.09597643850059019
20240328,4,endothelial,8,98,0.08163265306122448,0.10919540229885058,0.08630430547438145
20240328,4,ependymal,0,98,0.0,0.0033806626098715348,0.0005729936626900907
20240328,4,meninges_1,3,98,0.030612244897959183,0.022650439486139283,0.02926278635358293
20240328,4,meninges_2,2,98,0.02040816326530612,0.014198782961460446,0.019355725925671263
20240328,4,meninges_3,0,98,0.0,0.006423258958755916,0.0010886879591111723
20240328,4,microglia,1,98,0.01020408163265306,0.021636240703177823,0.012141735712403021
