Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Bdnf,Cck,Adcyap1r1,Gabrb3,Pcdhb21,Ntrk3,Htr4,Grik1,Nrgn,Spr,Prox1,Sst,Mc5r,Pcdhgb2,Dpy19l1,Pax6,Hcrtr1,Sstr2,Dlk1,Pax2,Htr1d,Sema6d,Gabrg3,Chrnb2,Cdh19,Pcdhb9,Gpc3,Pmp22,Penk,Rorb,Esrrg,Sema6c,Pcdha7,Pvalb,Sema4d,Pcdhb16,Bnc2,Pcdhga11,P2ry1,Rxfp3,Rnf220,Pcdhga12,Qrfpr,Prkcg,Vgf,Plxna1,Pcdhb19,Notch2,P2rx7,Adra2a,Pcdhga9,Col23a1,Gabra1,Gabrq,Adamts2,Sema5b,Pcdha11,Pdyn,Calcrl,Nrp1,Gad2,Pcdhgb4,Sema4c,Ramp2,Plxnb2,Pdzrn3,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Mc4r,Pcdhga10,Tnr,Pts,Pcdhga6,Grid1,Tac1,Grik5,Plxnb1,Calb1,Fosb,Grik3,Zfhx3,Chat,Chrm3,Chrm4,Pkd2l1,Hrh1,Chrna7
2656143800028200185,20240328,4052.46582,2050.737909,2891.072874,DH_ex_Sox5/Tac1,1.0,excitatory,5.0,male,M3,1,0328_M3_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0
2656143800052100110,20240328,1704.707031,1567.21226,2984.896774,DH_ex_Sox5,1.0,excitatory,5.0,male,M3,1,0328_M3_C,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2656143800077100029,20240328,1429.815552,1652.834231,3189.059719,DH_in_Pdyn/Gal,1.0,inhibitory,5.0,male,M3,1,0328_M3_C,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2656144300102100210,20240328,1428.313232,10644.34267,11569.68919,DH_ex_Sox5,1.0,excitatory,5.0,female,F2,4,0328_F2_T,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656144300163100024,20240328,1979.385742,8383.47336,12138.35726,DH_ex_Sox5,1.0,excitatory,5.0,female,F2,2,0328_F2_L,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2656144900209100024,20240328,2947.309082,6185.443997,2178.985988,DH_in_Pdyn/Gal,1.0,inhibitory,5.0,male,M2,1,0328_M2_C,0,0,0,1,0,0,1,0,5,3,0,0,2,0,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0
2656144900314100067,20240328,1535.549316,6446.348058,3309.949816,DH_ex_Sox5,1.0,excitatory,5.0,male,M2,1,0328_M2_C,0,1,0,1,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2656144900447100099,20240328,898.3956909,7240.692938,4768.494153,DH_ex_Sox5,1.0,excitatory,5.0,male,M2,4,0328_M2_T,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2707604000058100018,20240415,1782.876709,8077.368761,8217.787364,DH_ex_Sox5/Tac1,1.0,excitatory,5.0,male,M3,2,0415_M3_L,0,0,0,0,1,0,2,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2707604000085100241,20240415,1436.901123,7440.852007,9037.092979,DH_in_Pdyn/Gal,1.0,inhibitory,5.0,male,M3,2,0415_M3_L,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
