Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Bdnf,Adcyap1r1,Gabrb3,Ntrk3,Grik1,Nrgn,Sst,Dpy19l1,Dlk1,Sema6d,Gabrg3,Chrnb2,Penk,Pvalb,Sema4d,Pcdhgb5,Bnc2,Pcdhga11,Rnf220,Pcdhga12,Prkcg,Vgf,Plxna1,Notch2,P2rx7,Gabrq,Adamts2,Pcdha11,Pdyn,Sema4c,Adcyap1,Plxnc1,Pcdhgc5,Ptgds,Grid1,Grik5,Plxnb1,Zfhx3,Chrna7
2656143800052200085,20240328,2145.510986,1581.607544,2975.47184,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M3,1,0328_M3_C,0,1,2,0,0,1,8,0,0,2,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0
2656143800152100075,20240328,1017.341553,1706.138986,4138.563173,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M3,1,0328_M3_C,0,0,0,1,0,2,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
2656143800152100094,20240328,2747.830322,1758.124437,4183.020931,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M3,1,0328_M3_C,0,3,0,2,0,4,11,1,15,0,1,0,0,0,0,0,1,1,3,0,1,0,1,0,1,0,1,2,1,0,1,0,0,1,1,4,0,2,0
2656144900218100117,20240328,1335.023804,8598.567345,2272.621057,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M1,1,0328_M1_C,0,0,0,0,0,0,1,0,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2656144900314100047,20240328,1575.672119,6395.3695,3293.920571,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M2,1,0328_M2_C,0,1,1,2,0,1,19,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
2656144900377200109,20240328,1933.447876,9456.638093,3953.248731,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M1,4,0328_M1_T,0,1,2,2,1,0,5,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2707604000043100137,20240415,2805.87915,8102.497166,8132.438278,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M3,2,0415_M3_L,0,1,1,7,2,1,22,0,25,3,1,2,2,1,0,0,0,1,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,7,2,0,1,0
2707604000087100224,20240415,2477.407471,7778.62457,8993.838748,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M3,2,0415_M3_L,0,1,0,0,0,0,4,0,7,1,0,1,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
2707604700109100199,20240415,3748.888916,5517.787,6520.422175,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M2,2,0415_M2_L,0,0,0,1,0,2,15,0,10,2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
2707604800033100008,20240415,851.7510986,3597.153106,3217.226349,DH_ex_Reln/Npff,1.0,excitatory,1.0,male,M1,3,0415_M1_S,0,2,0,0,0,0,0,0,4,0,0,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
