Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Pmfbp1,Sema7a,Bdnf,Cck,Sema3a,Sema3g,Adcyap1r1,Drd5,Gabrb3,Pcdhb21,Lhx9,Ntrk3,Mc2r,Pomc,Htr4,Trhr2,Grik1,Nrgn,Chrna6,Spr,Npb,Prox1,Pthlh,Cyp27a1,Sst,Mc5r,Pcdhgb2,Dpy19l1,Nmu,Pax6,Hcrtr1,Apela,Pcdha1,Agtr1b,Sstr2,Adra1b,Ghrl,Htr3b,Adora2b,Dlk1,Pax2,Crhr1,Drd1,Tfap2b,Calcb,Ctss,Pcdha9,Htr1d,Sema6d,Gabrg3,Chrnb2,Cdh19,Pcdhb9,Gpc3,Pmp22,Onecut2,Pth1r,Penk,Pcdhb12,Chrne,Rorb,Fev,Esrrg,Aif1,Ccn2,Sema6c,Pcdha7,Npffr2,Pvalb,Sim1,Sema4d,Ghsr,Htr2a,Pcdhgb5,Uts2r,Pcdhb16,Bnc2,Pcdhga11,P2ry1,Chrna2,Pcdhb18,Farp2,Rnf220,Pcdhga12,Dbh,Prkcg,Vgf,Plxna1,Pcdhb19,Notch2,Plxnd1,P2rx7,Adra2a,Foxp2,Npy4r,Pcdhga8,Pitx2,Pcdhga9,Pcdhb3,Gabra1,Gabrq,Adamts2,Hrh2,P2rx6,Sema5b,Pcdha11,Calcrl,Nrp1,Gad2,Slc6a4,Pcdhgb4,Pcdhb4,Sema4c,Ramp2,Htr1f,Plxnb2,Pdzrn3,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Mc4r,Gabrg2,Pcdhga10,Dll1,Tnr,Pts,Cckar,Pcdhga6,Sstr3,Cfap43,Grid1,Tac4,Grik5,Plxnb1,Calb1,Npas4,Fosb,P2rx3,Grik3,Zfhx3,Chat,Oprm1,Chrm3,Chrm4,Pkd2l1,Hrh1,Chrna7
2656143800054100054,20240328,1220.707764,2147.817679,2933.220486,MV_in_Esrrb,4.0,inhibitory,14.0,male,M3,1,0328_M3_C,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2656143800054100156,20240328,2453.360352,2295.306108,3060.520726,MV_in_Esrrb,4.0,inhibitory,14.0,male,M3,1,0328_M3_C,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0
2656143800078100256,20240328,1627.963257,1954.452602,3434.134414,MV_ex_Syt2,4.0,excitatory,14.0,male,M3,1,0328_M3_C,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800079100018,20240328,1670.173218,2295.572848,3191.638075,MV_ex_Syt2,4.0,excitatory,14.0,male,M3,1,0328_M3_C,1,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2656143800079100226,20240328,4363.890625,2229.590939,3438.616264,MV_ex_Syt2,4.0,excitatory,14.0,male,M3,1,0328_M3_C,0,35,0,1,0,0,11,0,2,0,0,9,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,1,2,0,15,0,0,0,1,5,0,0,0,1,0,0,14,0,2,6,0,0,118,0,2,0,0,1,0,2,1,1,2,0,0,1,21,2,0,2,2,2,0,0,0,1,3,2,0,0,1,2,0,1,0,4,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,2,1,2,6,0,0,0,3,1,9,0,5,1,0,0,0,1,8,9,0,0,0,0,0,0,2
2656143800103100063,20240328,2115.756348,2039.525873,3528.541002,MV_in_Esrrb,4.0,inhibitory,14.0,male,M3,1,0328_M3_C,0,3,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2656143800104100265,20240328,2444.334473,2189.73168,3696.283444,MV_in_Esrrb,4.0,inhibitory,14.0,male,M3,1,0328_M3_C,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,3,1,0,0,0,1,0,2,0,0,2,0,6,0,0,0,0,0,27,0,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,2
2656143800128100017,20240328,1776.492065,2007.936487,3752.603521,MV_ex_Syt2,4.0,excitatory,14.0,male,M3,1,0328_M3_C,0,2,0,1,0,0,3,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,5,0,2,0,1,0,0,0,0,4,1,0,0,0,0,0,1
2656143800130100188,20240328,2048.874756,2435.402933,3987.666618,MV_in_Esrrb,4.0,inhibitory,14.0,male,M3,1,0328_M3_C,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2656143800153100191,20240328,1818.121582,1986.586369,4210.903181,MV_ex_Syt2,4.0,excitatory,14.0,male,M3,1,0328_M3_C,0,5,0,8,1,0,6,0,1,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,9,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,2,0,0,0,2,0,3,1,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1
