Unnamed: 0,Datasets,volume,center_x,center_y,MERFISH_cell_type_annotation,Region,Excitatory_vs_Inhibitory,Segment,Gender,Mouse_ID,AP_position,Section_ID,Sema7a,Bdnf,Cck,Sema3a,Adcyap1r1,Gabrb3,Lhx9,Ntrk3,Pomc,Htr4,Grik1,Nrgn,Spr,Prox1,Pthlh,Cyp27a1,Sst,Pcdhgb2,Dpy19l1,Nmu,Pax6,Agtr1b,Sstr2,Dlk1,Pax2,Crhr1,Drd1,Calcb,Ctss,Pcdha9,Sema6d,Gabrg3,Chrnb2,Cdh19,Pcdhb9,Gpc3,Pmp22,Pth1r,Penk,Pcdhb12,Rorb,Esrrg,Sema6c,Pcdha7,Npffr2,Pvalb,Sema4d,Htr2a,Pcdhgb5,Pcdhb16,Bnc2,Pcdhga11,P2ry1,Rxfp3,Pcdhb18,Rnf220,Pcdhga12,Prkcg,Vgf,Plxna1,C5ar1,Pcdhb19,Notch2,P2rx7,Adra2a,Pitx2,Pcdhga9,Col23a1,Gabra1,Gabrq,Adamts2,Agtr1a,Sema5b,Pcdha11,Pdyn,Fbn2,Calcrl,Nrp1,Gad2,Pcdhgb4,Sema4c,Ramp2,Plxnb2,Pdzrn3,Adcyap1,Plxnc1,Pcdhb11,Pcdhgc5,Jag2,Ptgds,Gabrg2,Pcdhga10,Tnr,Pts,Pcdhga6,Sstr3,Grid1,Grik5,Plxnb1,Calb1,Fosb,Grik3,Zfhx3,Chat,Chrng,Chrnb3,Pkd2l1,Chrna7
2656143800027100179,20240328,1034.102295,1718.820562,2749.929467,DH_ex_Prkcg/Nts,1.0,excitatory,8.0,male,M3,1,0328_M3_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
2656143800027100253,20240328,1964.072632,1667.086067,2813.867497,DH_ex_Prkcg/Nts,1.0,excitatory,8.0,male,M3,1,0328_M3_C,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0
2656143800027100303,20240328,1692.068481,1682.501215,2845.559265,DH_ex_Prkcg/Nts,1.0,excitatory,8.0,male,M3,1,0328_M3_C,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2656143800052100258,20240328,886.520813,1711.096509,3093.36088,DH_ex_Prkcg/Nts,1.0,excitatory,8.0,male,M3,1,0328_M3_C,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2656143800128100291,20240328,1763.006714,1837.902133,4024.161221,DH_ex_Prkcg/Cck,1.0,excitatory,8.0,male,M3,1,0328_M3_C,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2656143800214100038,20240328,1688.858276,4885.771794,4763.030356,DH_ex_Nmu/Tac2,1.0,excitatory,8.0,male,M3,4,0328_M3_T,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0
2656143800239100044,20240328,1431.533569,5023.090983,4884.195026,DH_ex_Prkcg/Cck,1.0,excitatory,8.0,male,M3,4,0328_M3_T,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2656143800442100187,20240328,1288.780884,5884.253914,7349.543323,DH_ex_Tac2,1.0,excitatory,8.0,male,M3,2,0328_M3_L,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2656144300102100202,20240328,2011.572021,10660.83064,11569.28296,DH_ex_Prkcg/Nts,1.0,excitatory,8.0,female,F2,4,0328_F2_T,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2656144300103100189,20240328,1218.43335,10902.52363,11565.53733,DH_ex_Tac2,1.0,excitatory,8.0,female,F2,4,0328_F2_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
